CAT_ID,Category,Category_Group,OSAT,Total_Documents,Detractor_Documents,Promoter_Documents,Neutral_Documents,DET_CAT_INF_SCORE,PRO_CAT_INF_SCORE
81840,APR,Rates,7.428571429,6,1,2,3,2.13619E-05,5.37585E-08
81796,CDs,Products,4.488372093,36,22,4,10,5.2052E-05,1.5637E-09
81816,IRAs,Products,3.857142857,17,11,4,2,0.001149865,1.73927E-08
81913,Churn,Sales/Marketing,4.733333333,15,9,3,3,9.71653E-08,1.24405E-09
81459,Fraud,Legal,7.452830189,326,165,93,61,0.006617079,4.03604E-07
81602,Login,Online Banking,6.946236559,85,42,23,19,3.39423E-05,8.18346E-06
81787,Taxes,Policy/Procedure,4.012345679,66,45,5,16,0.007852809,6.81909E-09
81445,Injury,Legal,3.8,20,15,1,4,0.018426787,1.03531E-09
81826,Savings,Products,6.187969925,124,68,26,29,0.001235591,1.18335E-07
81941,Surveys,Sales/Marketing,8.585365854,41,14,17,9,3.01273E-06,3.07732E-08
81309,ATM Fees,Fees & Charges,4.416666667,43,28,7,8,0.005012514,2.56338E-08
81582,Bill Pay,Online Banking,8.25,47,32,7,6,0.001942423,1.74291E-08
81801,Checking,Products,7.209638554,724,401,153,151,0.01337298,5.17474E-07
81883,Concerns,Safety & Security,5.45625,137,78,33,25,0.000521682,1.23121E-06
81960,Delivery,Statements,4.2,10,7,1,2,3.64307E-05,4.81271E-07
81110,Deposits,Bank Services,7.059139785,314,187,50,69,0.009010887,1.16482E-07
81889,Feelings,Safety & Security,7.666666667,18,5,9,4,0.000248545,2.51179E-07
81835,Interest,Rates,6.488235294,144,84,20,37,0.001802505,6.59199E-08
81774,Red Tape,Policy/Procedure,5.25,12,8,1,3,0.00465279,1.93899E-09
81779,Security,Policy/Procedure,5.634920635,62,30,21,11,0.000726162,1.43366E-07
81454,Liability,Legal,4.396825397,61,39,11,11,0.000997067,1.63924E-06
81060,Locations,ATM Experience,9.25,43,10,17,15,0.000240096,4.38793E-07
81204,Locations,Branch Experience,8.029126214,198,63,81,52,0.000867013,1.50951E-06
81493,Mortgages,Lending,6.142857143,85,45,19,20,0.001583286,4.38757E-08
81751,Overdraft,Policy/Procedure,4.352941176,79,53,11,15,4.56343E-05,2.44367E-09
81615,Paperless,Online Banking,13.2,13,2,4,6,6.15456E-09,1.70206E-08
81973,Paperless,Statements,10.42857143,36,15,6,13,0.00035173,2.74705E-08
81150,Transfers,Bank Services,7.703435805,464,262,100,89,0.00424835,4.62562E-07
81067,Usability,ATM Experience,9.1875,32,11,8,12,0.000845673,8.85632E-08
80990,Activation,Account Maintenance,8.964285714,22,13,5,3,0.000260077,6.95044E-07
81485,Home Loans,Lending,7.538461538,23,15,3,4,0.001497998,7.77862E-09
87806,Live Agent,IVR,8.2,5,1,3,1,3.11773E-05,4.37346E-05
81874,Membership,Reward Points,6.25,16,6,2,8,0.000153179,1.01116E-08
81925,Promotions,Sales/Marketing,6.0625,30,13,8,9,0.000331852,6.82114E-08
81931,Reccommend,Sales/Marketing,8.732832618,875,212,472,182,0.000980065,1.60387E-05
81315,Annual Fees,Fees & Charges,5,4,2,1,1,0.000247756,6.71982E-09
81003,Change Info,Account Maintenance,3.948717949,34,24,6,4,1.56863E-05,9.44129E-08
81010,Change Name,Account Maintenance,11.14285714,11,8,1,1,4.75829E-05,7.91085E-08
81042,Preferences,Account Maintenance,6.076923077,13,8,4,1,0.000222686,2.74502E-08
81504,Refinancing,Lending,8.535714286,26,15,5,5,6.44142E-05,1.51998E-07
81159,Withdrawals,Bank Services,8.252173913,99,49,24,23,4.51133E-05,2.25785E-08
81806,Credit Cards,Products,6.968571429,300,168,57,68,0.006801925,2.40219E-07
81591,Email Alerts,Online Banking,6.222222222,8,3,3,2,2.23045E-06,1.0248E-08
81036,Open Account,Account Maintenance,5.644859813,284,159,72,51,0.002752801,4.41198E-07
81127,Order Checks,Bank Services,6.905405405,66,35,15,15,0.00153422,7.66766E-08
81144,Stop Payment,Bank Services,2.727272727,19,16,2,1,0.000296482,1.88552E-06
81098,Check Cashing,Bank Services,4.823529412,15,8,4,3,0.000238704,2.65558E-08
81024,Close Account,Account Maintenance,4.171428571,210,153,26,29,0.013760767,2.95796E-08
81054,Functionality,ATM Experience,7.454545455,73,42,12,17,0.002066306,7.10627E-06
81346,International,Fees & Charges,6.538461538,13,4,1,8,0.000115458,1.24728E-09
81030,Joint Account,Account Maintenance,4.115384615,23,18,2,3,0.003270082,2.76821E-09
81745,Notifications,Policy/Procedure,3.784615385,59,41,7,11,0.007173339,1.70708E-08
