Primary,Related,Cooc
.Com,Ease of Ordering,90
.Com,Payment,30
.Com,Keeping Promises - Billing,30
.Com,Advertising and Collateral,20
.Com,Cost,20
.Com,Billing Accuracy,20
.Com,Bill Format,10
.Com,Solicitation,10
.Com,Email / Home Page,10
10 Digit Dialing,Solicitation,33.33
10 Digit Dialing,Installation - Physical,33.33
10 Digit Dialing,Spec Needs / Usability,33.33
Account Verification,Keeping Promises - Billing,4.49
Account Verification,Email / Home Page,4.49
Account Verification,First Contact Resolution,4.49
Account Verification,Billing Accuracy,3.37
Account Verification,Resolution Time,3.37
Account Verification,Technical Support,2.25
Account Verification,Keeping Promises - Appointments,2.25
Account Verification,Remote,2.25
Account Verification,Set Top Box,2.25
Account Verification,Programming / Channel Line Up,2.25
Account Verification,Modem / Router,2.25
Account Verification,Keeping Promises - Customer Call Back,2.25
Account Verification,Knowledge / Helpfulness,1.12
Account Verification,Transfer / Hold,1.12
Account Verification,Online Account Management,1.12
Account Verification,Keeping Promises - Customer Service,1.12
Account Verification,Pay Per View / VOD,1.12
Account Verification,Contracts,1.12
Account Verification,Home Monitor,1.12
Account Verification,Program Guide,1.12
Account Verification,Speed,1.12
Account Verification,Call Quality,1.12
Account Verification,Voice Mail,1.12
Account Verification,Equipment Delivery / Returns,1.12
Account Verification,All Competitors,1.12
Account Verification,Payment,1.12
Account Verification,OneBill / Split Bill,1.12
Account Verification,Equipment Delivery / Returns,1.12
Account Verification,Bill Explanation,1.12
Advertising and Collateral,All Competitors,13.33
Advertising and Collateral,Keeping Promises - Customer Service,11.67
Advertising and Collateral,Cost,10
Advertising and Collateral,Programming / Channel Line Up,10
Advertising and Collateral,Billing Accuracy,10
Advertising and Collateral,Keeping Promises - Billing,6.67
Advertising and Collateral,Contracts,6.67
Advertising and Collateral,First Contact Resolution,5
Advertising and Collateral,Ease of Ordering,3.33
Advertising and Collateral,.Com,3.33
Advertising and Collateral,Appointment Time / Window Convenience,3.33
Advertising and Collateral,Speed,3.33
Advertising and Collateral,Knowledge / Helpfulness,3.33
Advertising and Collateral,Email / Home Page,3.33
Advertising and Collateral,Technician,1.67
Advertising and Collateral,Live Chat,1.67
Advertising and Collateral,Keeping Promises - Appointments,1.67
Advertising and Collateral,Referrals / Word of Mouth,1.67
Advertising and Collateral,Modem / Router,1.67
Advertising and Collateral,Regulatory,1.67
Advertising and Collateral,Keeping Promises - Customer Call Back,1.67
Advertising and Collateral,Supervisor Escalation,1.67
Advertising and Collateral,Phone - General,1.67
Advertising and Collateral,Payment,1.67
Advertising and Collateral,OneBill / Split Bill,1.67
Advertising and Collateral,Transfer / Hold,1.67
Advertising and Collateral,Resolution Time,1.67
Advertising and Collateral,Business Hours,1.67
All Competitors,Cost,5.38
All Competitors,Billing Accuracy,5.38
All Competitors,Contracts,4.84
All Competitors,First Contact Resolution,4.57
All Competitors,Keeping Promises - Billing,3.49
All Competitors,Appointment Time / Window Convenience,3.23
All Competitors,Resolution Time,3.23
All Competitors,Keeping Promises - Appointments,2.42
All Competitors,Keeping Promises - Customer Service,2.42
All Competitors,Advertising and Collateral,2.15
All Competitors,Keeping Promises - Customer Call Back,2.15
All Competitors,Transfer / Hold,2.15
All Competitors,Email / Home Page,1.88
All Competitors,Supervisor Escalation,1.61
All Competitors,Taxes / Surcharges,1.34
All Competitors,Equipment Delivery / Returns,1.34
All Competitors,Getting to Rep / Reaching the Right Person,1.34
All Competitors,Knowledge / Helpfulness,1.34
All Competitors,Regulatory,1.08
All Competitors,Set Top Box,1.08
All Competitors,Referrals / Word of Mouth,1.08
All Competitors,Non-recurring Charges,1.08
All Competitors,Speed,0.81
All Competitors,Bill Explanation,0.81
All Competitors,Calling Plans,0.81
All Competitors,Technical Support,0.81
All Competitors,Move / Transfer of Service,0.81
All Competitors,Solicitation,0.54
All Competitors,Promotions,0.54
All Competitors,Picture Quality,0.54
All Competitors,Ease of Ordering,0.54
All Competitors,Payment,0.54
All Competitors,Door to Door Agent,0.54
All Competitors,Legal - Other,0.54
All Competitors,Contracts,0.54
All Competitors,Modem / Router,0.54
All Competitors,Voice Mail,0.54
All Competitors,Equipment Delivery / Returns,0.54
All Competitors,Technician,0.54
All Competitors,Programming / Channel Line Up,0.27
All Competitors,PPV / VOD Billing,0.27
All Competitors,Account Verification,0.27
All Competitors,Caller ID,0.27
All Competitors,Business Hours,0.27
All Competitors,Online Account Management,0.27
All Competitors,Pay Per View / VOD,0.27
All Competitors,Unauthorized Charge / Changes,0.27
All Competitors,Packages / Premium Channels,0.27
All Competitors,Bill Format,0.27
All Competitors,Collections,0.27
All Competitors,Attitude,0.27
All Competitors,Reliability / Out Of Service,0.27
Appointment Time / Window Convenience,Keeping Promises - Appointments,33.33
Appointment Time / Window Convenience,Technician,13.16
Appointment Time / Window Convenience,Resolution Time,8.33
