CAT_ID,CATEGORY,L2_CATEGORY,CATEGORY_GROUP,OSAT,TOTAL_DOCUMENTS,DETRACTOR_DOCUMENTS,PROMOTER_DOCUMENTS,NEUTRAL_DOCUMENTS,DET_CAT_INF_SCORE,PRO_CAT_INF_SCORE
330313,Style/Design,Product Selection,Operations - Merchandise,7.75707204,119272,25865,57232,36175,0.000551319,3.78659E-06
136337,Price Matching,Lowest Prices,Operations - Price/Value,7.222094609,12903,3604,6016,3283,0.000198408,5.43669E-07
136242,Product Availability,Finding Items,Operations - Merchandise,7.548017838,648444,150409,294282,203753,0.002346952,0.001330107
136382,Warranty,Value for the Money,Operations - Price/Value,6.776984835,1057,376,430,251,2.9122E-05,1.38005E-08
81683,Self-Checkout,Check-Out,Operations - Fast,7.622521179,69788,16142,33491,20155,0.000415347,0.00011822
136144,Quality of Staff,Above & Beyond,Operations - Friendly,7.78678421,197035,44450,103763,48822,0.004960695,1.86665E-05
81633,Bagging,Check-Out,Operations - Fast,6.960921144,19063,6392,6939,5732,0.000123314,8.28185E-06
135999,Finding Help,In & Out,Operations - Fast,7.673594384,169150,38716,80153,50281,0.000522773,0.000197335
136119,Sufficient Floor Staff,10 Foot Rule,Operations - Friendly,7.828559887,146360,29890,70716,45754,7.94298E-05,0.000238318
135993,Cart Availability,In & Out,Operations - Fast,8.019621371,34957,6139,18805,10013,1.47158E-05,9.66107E-05
135884,Heating/Cooling,Store Atmosphere,Operations - Clean,7.849282297,6413,1308,3284,1821,5.34693E-06,1.49313E-05
135913,Size,Store Atmosphere,Operations - Clean,8.082682252,15907,2690,8395,4822,9.59174E-05,3.92665E-05
136355,Refunds,Returns & Refunds,Operations - Price/Value,5.500165399,2893,1568,715,610,0.000183147,3.10776E-06
135924,Cart Quality,Store Cleanliness,Operations - Clean,8.073149771,27895,4789,15364,7742,7.84422E-05,0.000233276
135828,Tidiness,Clear & Uncluttered,Operations - Clean,7.610262222,221335,52110,97725,71500,0.008733858,0.001334878
136173,Attitude,Staff Competencies,Operations - Friendly,7.702236214,457191,102921,229423,124847,0.00306763,3.69395E-05
135874,Atmosphere,Store Atmosphere,Operations - Clean,8.211938873,20710,3199,11563,5948,3.68011E-05,2.89384E-06
136257,New Merchandise,Finding Items,Operations - Merchandise,7.959952504,9189,1677,4703,2809,2.08057E-05,2.75187E-07
136371,Pricing/Value,Value for the Money,Operations - Price/Value,8.016466152,625522,107216,343556,174750,0.001056029,6.59262E-05
136107,Friendliness,10 Foot Rule,Operations - Friendly,7.817344739,264779,55349,134993,74437,0.001009853,2.37383E-05
136180,Communication Skills,Staff Competencies,Operations - Friendly,6.85625,14080,4995,4914,4171,8.86444E-05,5.66816E-06
136193,Knowledge,Staff Competencies,Operations - Friendly,7.13488804,94681,29464,38451,26766,0.002402586,2.96963E-06
136090,Store Location,Store Organization & Convenience,Operations - Fast,8.066961287,27815,5031,15546,7238,7.38527E-05,3.09875E-06
136139,Above & Beyond,Above & Beyond,Operations - Friendly,8.265861625,10050,1619,6115,2316,4.73256E-08,6.32039E-07
207035,Express Lanes,Check-Out,Operations - Fast,7.020845106,15239,4911,5934,4394,2.58484E-05,6.45907E-06
135960,Design,Visually Appealing,Operations - Clean,7.724657226,8802,1988,4110,2704,0.000119399,3.44172E-07
81625,Sufficient Registers,Check-Out,Operations - Fast,7.956178825,625490,111519,324333,189638,0.000237935,0.00148877
136233,Finding Items,Finding Items,Operations - Merchandise,8.112082618,162817,27092,89243,46482,0.001568512,1.88676E-05
136052,Ease of Parking,Parking,Operations - Fast,8.310336381,12127,1647,6993,3487,0.000181202,2.10339E-06
136085,Fitting Rooms,Store Organization & Convenience,Operations - Fast,7.406405164,3774,1021,1535,1218,2.29951E-05,6.78945E-06
136345,Exchanges,Returns & Refunds,Operations - Price/Value,6.4272554,2940,1181,1095,664,0.000244147,4.2608E-08
136025,Shopping Efficiency,In & Out,Operations - Fast,8.755203325,121189,9207,82510,29472,2.49818E-07,4.45645E-05
136058,Sufficient Space,Parking,Operations - Fast,7.900153792,8353,1748,4366,2239,0.000195391,4.93005E-05
330167,Variety,Product Selection,Operations - Merchandise,8.039084188,356983,59444,182521,115018,0.000879295,1.6121E-05
330132,Pros/Cons,Value for the Money,Operations - Price/Value,8.047445255,813,132,426,255,6.36015E-08,8.39643E-07
136323,Discounts,Deals,Operations - Price/Value,8.256264394,49510,7106,28805,13599,2.47271E-07,4.08226E-06
136288,Quality/Reliability,Product Selection,Operations - Merchandise,7.670003514,84551,18975,38103,27473,0.000616707,0.000189578
136076,Layout Consistency,Store Organization & Convenience,Operations - Fast,7.976277132,22402,4035,11115,7252,3.09735E-05,0.000120855
135892,Lighting,Store Atmosphere,Operations - Clean,7.848155836,6113,1255,2933,1925,0.000198706,5.76385E-05
136187,Helpfulness,Staff Competencies,Operations - Friendly,7.741312964,265697,59373,133194,73130,0.003029874,1.79206E-05
135907,Odor,Store Atmosphere,Operations - Clean,7.363403263,4169,1187,1728,1254,0.000322838,2.25376E-05
136113,Greeting,10 Foot Rule,Operations - Friendly,8.184236948,106385,17006,60698,28681,5.62927E-06,8.79677E-07
136207,Listening,Staff Competencies,Operations - Friendly,7.24795082,5791,1734,2693,1364,3.63144E-05,6.10621E-06
136377,Rebates,Value for the Money,Operations - Price/Value,7.220858896,294,82,153,59,4.62675E-07,1.6237E-07
136360,Returns,Returns & Refunds,Operations - Price/Value,6.897110252,35305,11829,14192,9284,0.001063464,2.41763E-05
