NODE_ID,NODE_NAME,PARENT,SENTIMENT_SCORE,TOTAL_DOCUMENTS,DETRACTOR_DOCUMENTS,DETRACTOR_SENTIMENT,PROMOTER_DOCUMENTS,PROMOTER_SENTIMENT,NEUTRAL_DOCUMENTS,NEUTRAL_SENTIMENT
75911,Show ALL,,,,,,,,,
81358,Operations - Clean,75911,-0.60461168,638731,127519,-1.113271851,314375,-0.290391114,196837,-0.754011589
81608,Operations - Fast,75911,-0.566332252,1616145,280780,-1.120697093,885108,-0.241871442,450257,-0.805614114
81613,Check-Out,81608,-1.128468198,899273,170974,-1.291618642,458914,-1.02030155,269385,-1.192547503
81625,Sufficient Registers,81613,-1.385029074,625490,111519,-1.339934987,324333,-1.380643231,189638,-1.420029919
81633,Bagging,81613,-0.746647892,19063,6392,-0.950821806,6939,-0.570359589,5732,-0.732447425
81645,Ease of Checkout,81613,-0.138131001,34549,6511,-1.376225863,18349,0.411728146,9689,-0.343369176
81653,Receipt & Payment,81613,-0.924888639,12881,5660,-1.064063309,4087,-0.709149142,3134,-0.95168412
81663,Checkout Wait Time,81613,-0.735487687,274205,62889,-1.317992373,129251,-0.362182828,82065,-0.848958035
81683,Self-Checkout,81613,-0.688589296,69788,16142,-1.0468786,33491,-0.482106413,20155,-0.733154343
81870,Operations - Friendly,75911,-0.107596074,974221,212823,-0.749622988,491607,0.281974577,269791,-0.265534251
81873,Operations - Merchandise,75911,-0.556694607,1256926,249153,-0.966858501,618393,-0.283953195,389380,-0.689849214
81876,Operations - Price/Value,75911,0.112840686,727247,132352,-0.527528631,393133,0.427602259,201762,-0.033121788
135816,Clear & Uncluttered,81358,-0.96940631,361575,77079,-1.382454843,167231,-0.696243894,117265,-1.075673823
135819,Room to Shop,135816,-1.186004022,157632,29690,-1.468675848,76216,-1.035788504,51726,-1.243144186
135828,Tidiness,135816,-0.852843128,221335,52110,-1.366806313,97725,-0.466381044,71500,-0.991639116
135834,Restroom Cleanliness,81358,-0.383842923,46730,8502,-0.844578093,23416,-0.169040214,14812,-0.457036316
135837,Floor,135834,-0.823491379,1445,426,-1.175936768,593,-0.524748322,426,-0.888026932
135844,Restrooms General,135834,-0.357106042,44164,7848,-0.824372456,22307,-0.146239207,14009,-0.43131968
135857,Sinks,135834,-1.089569398,590,145,-1.379708904,257,-0.896551724,188,-1.131544503
135864,Toilets,135834,-0.843284138,1653,433,-1.112186788,687,-0.588399281,533,-0.952117864
