NODE_ID,NODE_NAME,parent,OSAT,SENTIMENT_SCORE,TOTAL_DOCUMENTS
1914780,Show ALL,,,,
1914813,Team Praise,1914784,4.632689988,2.522768396,1475
1923133,Customer Service,1914780,4.146232397,0.8351173,9776
1915092,Partner Program,1915071,4.014084507,0.501760563,197
1923109,Needs Attention,1923096,2.836501901,-1.211501901,241
1915053,Website Design,1915033,4.052631579,0.013157895,37
1925563,Product Performance,1914780,3.93398686,-0.533945145,6584
1923207,Service Perception,1923133,4.255238095,1.134503106,8414
1925426,Quality of Service,1925404,4.176940639,1.143455099,2285
1925435,Referred Elsewhere,1925404,2.5,-0.625,12
1925587,Product Ease of Use,1925563,3.881062356,-1.023137991,3363
1925475,Product Attributes,1914780,3.770448549,-0.531827177,599
1924960,Promos,1924948,3.850704225,-0.180985915,303
1925636,Product Suggestions,1925563,4.001946788,-0.30215769,1364
1914846,Team Knowledge,1914784,4.086330935,0.834532374,392
1925763,Lawsuits,1925738,5,-2,1
1925730,Verify Acct. Info,1925644,3.333333333,-0.791666667,9
1925691,Checking Shipping Status,1925644,4,0,1
1915154,Innovation,1915106,4.134304207,0.053499191,547
1915184,Stability,1915106,3.87989081,-0.146155596,900
1915191,Updates/Upgrades/Downloads,1915106,3.775891341,-0.612956282,900
1923040,Automated System,1923035,4.047619048,-0.69047619,20
1915071,Partner,1914780,3.909314395,0.325679459,2823
1914909,Customer Churn,1914884,3.333333333,-0.446969697,31
1925699,General Questions,1925644,3.333333333,-0.666666667,3
1925713,Modify Address,1925644,3.65,-0.125,38
1925830,General Suggestions,1925816,3.95492595,-0.31996539,2592
1923214,Service Quality,1923133,4.136413641,1.283347085,838
1924953,Ads,1924948,3.888888889,-0.1625,160
1925978,Web-Speed,1925874,3.801932367,-0.600241546,192
1925016,Warranty,1924967,3.638888889,-0.201388889,31
1923138,Contact Info,1923133,3.09375,-0.515625,27
1923145,Email Support,1923133,2.859649123,-0.785087719,49
1924994,Refund,1924967,2.625,-1.140625,13
1925969,Web-Security/Privacy,1925874,4.5,-0.5625,4
1914889,Competitor Mentions,1914884,3.822018349,0.07087156,873
