CAT_ID,Category,Category_Group,OSAT,Total_Documents,Detractor_Documents,Promoter_Documents,Neutral_Documents,DET_CAT_INF_SCORE,PRO_CAT_INF_SCORE
1923101,Escalation to Management,Customer Escalation,3.142857143,13,6,3,4,0.000000019565900,0.000000000896294
1926823,Live Person,Communications,3,9,5,3,1,0.000000028983300,0.000000002294260
1925016,Warranty,Corporate - Policy,3.638888889,31,12,7,12,0.000003416880000,0.000000003303530
1923166,Live Chat,Customer Service,3.48,22,7,6,9,0.000001660150000,0.000000003955800
1925450,Rep. Apologize,Problem Resolution,2.75,7,5,1,1,0.003547005000000,0.000000004984050
1915085,Partner Profitability,Partner,3.696428571,51,22,16,13,0.000007264560000,0.000000015134300
1925730,Verify Acct. Info,Reasons for Calling,3.333333333,9,5,2,2,0.001308984000000,0.000000018525600
1925670,Cancellation,Reasons for Calling,3.461538462,24,10,5,9,0.000512616000000,0.000000049454500
1924960,Promos,Corporate - Marketing,3.850704225,303,91,83,127,0.000013730100000,0.000000049491300
1915045,Training,Online Experience,3.842105263,35,9,10,16,0.000074577600000,0.000000059737700
1923145,Email Support,Customer Service,2.859649123,49,27,9,13,0.006134156000000,0.000000060492100
1923080,Transferred,Communications,3,96,48,21,27,0.000769620000000,0.000000069412900
1915212,Documentation,Training and Cert.,4.020408163,44,12,19,13,0.000009099520000,0.000000094030100
1925847,Product Suggestions,Suggestions,4.062015504,481,88,168,224,0.000000040905200,0.000000106177000
1925808,Thermal Event,Safety/Legal,3.538461538,12,3,4,5,0.000024195400000,0.000000130959000
1925789,Perceived Thermal Event,Safety/Legal,3.538461538,12,3,4,5,0.000024195400000,0.000000130959000
1925713,Modify Address,Reasons for Calling,3.65,38,12,11,15,0.000144733000000,0.000000132978000
1924953,Ads,Corporate - Marketing,3.888888889,160,46,53,61,0.000035364300000,0.000000140468000
1924972,Exchange,Corporate - Policy,3.975609756,369,76,138,152,0.000003976960000,0.000000156525000
1914909,Customer Churn,Corporate,3.333333333,31,11,6,14,0.000002473970000,0.000000160574000
1925821,Business Process Suggestions,Suggestions,3.911392405,223,55,64,102,0.000077719300000,0.000000164728000
1914889,Competitor Mentions,Corporate,3.822018349,873,249,239,381,0.000000548935000,0.000000186975000
1925417,Limited Authority,Problem Resolution,3.772727273,22,8,8,6,0.000532318000000,0.000000189765000
1914797,Follow Up,Account Team,3.472222222,35,13,11,11,0.000856352000000,0.000000233649000
1923138,Contact Info,Customer Service,3.09375,27,15,5,7,0.000010916500000,0.000000239761000
1923154,Follow Up,Customer Service,3.302721088,260,127,73,58,0.000621234000000,0.000000245722000
1925856,Staff Suggestions,Suggestions,3.81292517,803,228,235,337,0.000068531200000,0.000000257482000
1925658,Activation,Reasons for Calling,3.035714286,51,27,5,19,0.000146098000000,0.000000332749000
1925680,Checking Order Status,Reasons for Calling,3.68627451,96,33,29,34,0.002174868000000,0.000000594854000
1915053,Website Design,Online Experience,4.052631579,37,9,15,13,0.000394355000000,0.000000608840000
1925549,Product User Interface,Product Attributes,3.729299363,261,76,78,104,0.000636821000000,0.000000657006000
1925409,Information Access,Problem Resolution,3.613013699,261,104,80,74,0.001737541000000,0.000000959869000
1925568,Product Assembly,Product Performance,3.772727273,240,72,84,84,0.000897960000000,0.000000966582000
1914876,Turnover,Account Team,4.098159509,150,34,61,55,0.000000562823000,0.000001191150000
1925617,Product Performance,Product Performance,3.822580645,120,34,42,44,0.000899033000000,0.000001242100000
1915205,Availability,Training and Cert.,4.217391304,44,6,17,20,0.000090287600000,0.000001291390000
1915111,Availability,Products,4.062686567,315,66,115,131,0.000249100000000,0.000001407690000
1927244,Product Features,Products,4.056818182,234,41,73,119,0.000352146000000,0.000001452630000
1925595,Product Installation,Product Performance,3.936639118,321,80,126,113,0.000267943000000,0.000002417710000
1915078,Ease of Partnering,Partner,4.011363636,172,39,63,70,0.001853036000000,0.000002451480000
1923088,Trouble Understanding,Communications,3.708045977,379,110,117,150,0.005815625000000,0.000002549510000
1925503,Product Packaging,Product Attributes,3.872037915,185,47,53,85,0.000004162340000,0.000002620380000
1914829,Team Communication,Account Team,3.787096774,288,91,105,92,0.005908676000000,0.000002761300000
1925865,Website Suggestions,Suggestions,4.007692308,125,33,49,42,0.000003789170000,0.000002787000000
1915092,Partner Program,Partner,4.014084507,197,43,79,75,0.000001263720000,0.000002871890000
1923055,Hold Time,Communications,3,24,13,5,6,0.000135637000000,0.000003062560000
1915119,Delivery/Fulfillment,Products,3.997402597,334,81,129,124,0.002549795000000,0.000003328680000
1927216,Product Selection,Products,4.171052632,216,40,84,90,0.000162294000000,0.000003536540000
1915169,Price/ Cost,Products,3.982314694,2835,624,994,1210,0.000234272000000,0.000003769700000
1914896,Corporate Praise,Corporate,4.543218552,1323,110,887,325,0.000000020009600,0.000003857800000
1925602,Product Maintenance,Product Performance,3.980686695,413,100,148,164,0.003304607000000,0.000004334950000
1915144,General Product Praise,Products,4.517435321,840,78,545,215,0.000000036909300,0.000004665030000
1915126,Documentation,Products,3.81163567,1653,472,579,593,0.002921835000000,0.000004960340000
1915011,Support Responsiveness,Customer Support,3.931707317,383,100,152,131,0.001248742000000,0.000005227130000
1914854,Team Responsiveness,Account Team,4.05904059,261,63,117,80,0.000638222000000,0.000005378100000
1914970,Support Attitude,Customer Support,3.880597015,321,82,136,103,0.000904436000000,0.000005611450000
1914988,Support Helpfulness,Customer Support,3.942643392,376,103,156,115,0.004545374000000,0.000005928460000
1915099,Partner Team,Partner,4.090497738,208,49,107,51,0.000475818000000,0.000006005840000
1923048,Disconnected,Communications,3.4375,29,11,8,10,0.000036307300000,0.000006065190000
1914962,Support Praise,Customer Support,4.462804006,1266,136,800,328,0.000000080995300,0.000006087060000
1915134,EOL,Products,3.733990148,170,56,51,62,0.000012207200000,0.000006204900000
1915220,Training Price/Cost,Training and Cert.,3.967741935,87,26,29,32,0.000181558000000,0.000007047970000
1923040,Automated System,Communications,4.047619048,20,5,6,9,0.000014345100000,0.000007048790000
1923181,Online Communication,Customer Service,3.75,12,4,5,3,0.000358160000000,0.000007346480000
1925510,Product Parts Missing,Product Attributes,3.5,5,1,3,1,0.000000736106000,0.000007487230000
1925978,Web-Speed,Website,3.801932367,192,51,58,83,0.000043424800000,0.000008213920000
1925649,Account Modification,Reasons for Calling,3.843065693,715,198,268,245,0.001387918000000,0.000008272700000
1914995,Support Knowledge,Customer Support,3.965376782,445,101,192,150,0.000297023000000,0.000008422990000
1925464,Troubleshooting,Problem Resolution,3.581769437,1529,542,533,446,0.030657632000000,0.000010480600000
1923174,Login Support,Customer Service,3.557377049,51,21,11,18,0.000115547000000,0.000010516900000
1915154,Innovation,Products,4.134304207,547,95,220,228,0.000551039000000,0.000010906500000
1914821,Team Attitude,Account Team,4.12254902,385,82,194,109,0.000893186000000,0.000011702700000
1925722,Needs Parts,Reasons for Calling,3.892473118,86,20,34,32,0.000068366900000,0.000011726700000
1914846,Team Knowledge,Account Team,4.086330935,392,77,197,117,0.001013989000000,0.000012959700000
1925926,Web-Login Issues,Website,3.551724138,128,47,27,52,0.000191895000000,0.000013144000000
1915184,Stability,Products,3.87989081,900,227,356,315,0.009581062000000,0.000013229900000
1925830,General Suggestions,Suggestions,3.95492595,2592,594,865,1120,0.000098095400000,0.000015165900000
1925909,Web-Features/Functionality,Website,3.920634921,173,45,52,75,0.000349690000000,0.000017093600000
1914813,Team Praise,Account Team,4.632689988,1475,86,1053,332,0.000000025367700,0.000017260400000
1915038,Login,Online Experience,3.505747126,74,28,15,30,0.000146883000000,0.000018268500000
1925008,Returns,Corporate - Policy,3.946808511,232,54,86,91,0.000013386400000,0.000018581600000
1924979,Order,Corporate - Policy,3.577167019,396,138,100,156,0.002476949000000,0.000019006700000
1923109,Needs Attention,Customer Escalation,2.836501901,241,155,39,45,0.006667891000000,0.000019491800000
1925838,Pricing Suggestions,Suggestions,4.125641026,366,58,139,169,0.000002053730000,0.000021521900000
1925442,Refunds/Discounts,Problem Resolution,3.618705036,124,47,28,48,0.000042002400000,0.000024569200000
1914839,Team Helpfulness,Account Team,4.250859107,546,103,319,123,0.000499805000000,0.000024891800000
1915003,Support Price/Cost,Customer Support,3.923267327,363,92,118,151,0.000222860000000,0.000024919200000
1923190,Problem Resolution,Customer Service,3.833221024,2380,676,910,781,0.018863460000000,0.000027436600000
1925636,Product Suggestions,Product Performance,4.001946788,1364,295,476,590,0.000048815500000,0.000028632200000
1925891,Web-Browsing/Navigating,Website,3.933609959,218,60,76,81,0.000040235500000,0.000031743300000
1923214,Service Quality,Customer Service,4.136413641,838,170,463,202,0.001508862000000,0.000032842700000
1926490,Unresolved Issues,Customer Support,3.41322314,116,48,27,39,0.006269801000000,0.000035296000000
1923068,Multiple Attempts,Communications,3.222222222,33,16,6,10,0.000422638000000,0.000038928200000
1925576,Product Durability,Product Performance,4.002871729,2543,557,1006,972,0.006235756000000,0.000039360300000
1914924,Contracts,Corporate,3.601980198,696,223,201,269,0.000269417000000,0.000040187000000
1925755,Injury,Safety/Legal,3.965317919,156,42,53,59,0.000054477500000,0.000043834300000
1915191,Updates/Upgrades/Downloads,Products,3.775891341,900,241,291,364,0.000331376000000,0.000044633300000
1925001,Replace,Corporate - Policy,3.869215292,419,108,161,148,0.000197436000000,0.000050611500000
1925936,Web-Performance,Website,3.859649123,268,73,81,113,0.000136464000000,0.000056763400000
1915177,Replacement,Products,3.841509434,443,113,169,159,0.000246894000000,0.000057009700000
1925918,Web-Info/Content,Website,4.005102041,182,44,68,70,0.000070552900000,0.000079373300000
1925426,Quality of Service,Problem Resolution,4.176940639,2285,410,1193,675,0.001387733000000,0.000088880600000
1925609,Product Malfunctions,Product Performance,3.836538462,96,28,39,29,0.000160873000000,0.000122110000000
1914978,Support Communication,Customer Support,3.721568627,460,136,136,185,0.001774310000000,0.000130250000000
1925961,Web-Search Function,Website,4.079681275,222,46,86,89,0.000133261000000,0.000132075000000
1915162,Licensing,Products,3.995583039,778,162,255,357,0.000155377000000,0.000212163000000
1915062,Website Usability,Online Experience,3.891713748,937,245,325,364,0.013984416000000,0.000296794000000
1923207,Service Perception,Customer Service,4.255238095,8414,1274,4408,2710,0.000023653000000,0.000364443000000
1925556,Product Warranty,Product Attributes,3.748917749,174,52,50,71,0.000072303200000,0.000368742000000
1924987,Rebate,Corporate - Policy,4.28,22,3,9,10,0.000163604000000,0.000751203000000
1925989,Web-Userfriendliness,Website,3.965665236,427,100,143,183,0.001768351000000,0.001266390000000
1925587,Product Ease of Use,Product Performance,3.881062356,3363,881,1120,1350,0.055468114000000,0.003873331000000
