CAT_ID,Category,Category_Group,OSAT,Total_Documents,Detractor_Documents,Promoter_Documents,Neutral_Documents,
1914889,Competitor Mentions,Corporate,3.822018349,873,249,239,381,
1914896,Corporate Praise,Corporate,4.543218552,1323,110,887,325,
1915177,Replacement,Products,3.841509434,443,113,169,159,
1915205,Availability,Training and Cert.,4.217391304,44,6,17,20,
1923109,Needs Attention,Customer Escalation,2.836501901,241,155,39,45,
1925830,General Suggestions,Suggestions,3.95492595,2592,594,865,1120,
1925442,Refunds/Discounts,Problem Resolution,3.618705036,124,47,28,48,
1925503,Product Packaging,Product Attributes,3.872037915,185,47,53,85,
1925595,Product Installation,Product Performance,3.936639118,321,80,126,113,
1924979,Order,Corporate - Policy,3.577167019,396,138,100,156,
1925978,Web-Speed,Website,3.801932367,192,51,58,83,
1914854,Team Responsiveness,Account Team,4.05904059,261,63,117,80,
1914876,Turnover,Account Team,4.098159509,150,34,61,55,
1914821,Team Attitude,Account Team,4.12254902,385,82,194,109,
1915144,General Product Praise,Products,4.517435321,840,78,545,215,
1915191,Updates/Upgrades/Downloads,Products,3.775891341,900,241,291,364,
1923145,Email Support,Customer Service,2.859649123,49,27,9,13,
1923166,Live Chat,Customer Service,3.48,22,7,6,9,
1923174,Login Support,Customer Service,3.557377049,51,21,11,18,
1915045,Training,Online Experience,3.842105263,35,9,10,16,
1915053,Website Design,Online Experience,4.052631579,37,9,15,13,
1915085,Partner Profitability,Partner,3.696428571,51,22,16,13,
1925670,Cancellation,Reasons for Calling,3.461538462,24,10,5,9,
1925722,Needs Parts,Reasons for Calling,3.892473118,86,20,34,32,
1925417,Limited Authority,Problem Resolution,3.772727273,22,8,8,6,
1925576,Product Durability,Product Performance,4.002871729,2543,557,1006,972,
1925450,Rep. Apologize,Problem Resolution,2.75,7,5,1,1,
1923214,Service Quality,Customer Service,4.136413641,838,170,463,202,
1925602,Product Maintenance,Product Performance,3.980686695,413,100,148,164,
1925609,Product Malfunctions,Product Performance,3.836538462,96,28,39,29,
1915154,Innovation,Products,4.134304207,547,95,220,228,
1915011,Support Responsiveness,Customer Support,3.931707317,383,100,152,131,
1923154,Follow Up,Customer Service,3.302721088,260,127,73,58,
1923207,Service Perception,Customer Service,4.255238095,8414,1274,4408,2710,0.151414309
1925808,Thermal Event,Safety/Legal,3.538461538,12,3,4,5,
1925568,Product Assembly,Product Performance,3.772727273,240,72,84,84,
1925464,Troubleshooting,Problem Resolution,3.581769437,1529,542,533,446,
1925856,Staff Suggestions,Suggestions,3.81292517,803,228,235,337,
1925636,Product Suggestions,Product Performance,4.001946788,1364,295,476,590,
1925926,Web-Login Issues,Website,3.551724138,128,47,27,52,
1914797,Follow Up,Account Team,3.472222222,35,13,11,11,
1914813,Team Praise,Account Team,4.632689988,1475,86,1053,332,
1914839,Team Helpfulness,Account Team,4.250859107,546,103,319,123,
1914846,Team Knowledge,Account Team,4.086330935,392,77,197,117,
1915162,Licensing,Products,3.995583039,778,162,255,357,
1915099,Partner Team,Partner,4.090497738,208,49,107,51,
1915184,Stability,Products,3.87989081,900,227,356,315,
1914978,Support Communication,Customer Support,3.721568627,460,136,136,185,
1914988,Support Helpfulness,Customer Support,3.942643392,376,103,156,115,
1923080,Transferred,Communications,3,96,48,21,27,
1923101,Escalation to Management,Customer Escalation,3.142857143,13,6,3,4,
1915126,Documentation,Products,3.81163567,1653,472,579,593,0.28554144
1925680,Checking Order Status,Reasons for Calling,3.68627451,96,33,29,34,
1925755,Injury,Safety/Legal,3.965317919,156,42,53,59,
1925847,Product Suggestions,Suggestions,4.062015504,481,88,168,224,
1925587,Product Ease of Use,Product Performance,3.881062356,3363,881,1120,1350,
1925891,Web-Browsing/Navigating,Website,3.933609959,218,60,76,81,
1925556,Product Warranty,Product Attributes,3.748917749,174,52,50,71,
1915169,Price/ Cost,Products,3.982314694,2835,624,994,1210,
1914962,Support Praise,Customer Support,4.462804006,1266,136,800,328,
1914995,Support Knowledge,Customer Support,3.965376782,445,101,192,150,
1923055,Hold Time,Communications,3,24,13,5,6,
1923088,Trouble Understanding,Communications,3.708045977,379,110,117,150,
1923181,Online Communication,Customer Service,3.75,12,4,5,3,
1915111,Availability of Products,Products,4.062686567,315,66,115,131,
1925658,Activation,Reasons for Calling,3.035714286,51,27,5,19,
1925426,Quality of Service,Problem Resolution,4.176940639,2285,410,1193,675,
1925549,Product User Interface,Product Attributes,3.729299363,261,76,78,104,
1925865,Website Suggestions,Suggestions,4.007692308,125,33,49,42,
1924953,Ads,Corporate - Marketing,3.888888889,160,46,53,61,
1924960,Promos,Corporate - Marketing,3.850704225,303,91,83,127,
1925617,Product Performance,Product Performance,3.822580645,120,34,42,44,
1925008,Returns,Corporate - Policy,3.946808511,232,54,86,91,
1925989,Web-Userfriendliness,Website,3.965665236,427,100,143,183,
1926490,Unresolved Issues,Customer Support,3.41322314,116,48,27,39,
1926823,Live Person,Communications,3,9,5,3,1,
1927244,Product Features,Products,4.056818182,234,41,73,119,
1914829,Team Communication,Account Team,3.787096774,288,91,105,92,
1923048,Disconnected,Communications,3.4375,29,11,8,10,
1923068,Multiple Attempts,Communications,3.222222222,33,16,6,10,
1915038,Login,Online Experience,3.505747126,74,28,15,30,
1915119,Delivery/Fulfillment,Products,3.997402597,334,81,129,124,
1914924,Contracts,Corporate,3.601980198,696,223,201,269,
1915078,Ease of Partnering,Partner,4.011363636,172,39,63,70,
1925649,Account Modification,Reasons for Calling,3.843065693,715,198,268,245,
1925730,Verify Acct. Info,Reasons for Calling,3.333333333,9,5,2,2,
1925789,Perceived Thermal Event,Safety/Legal,3.538461538,12,3,4,5,
1925838,Pricing Suggestions,Suggestions,4.125641026,366,58,139,169,
1925918,Web-Info/Content,Website,4.005102041,182,44,68,70,
1924972,Exchange,Corporate - Policy,3.975609756,369,76,138,152,
1925936,Web-Performance,Website,3.859649123,268,73,81,113,
1915092,Partner Program,Partner,4.014084507,197,43,79,75,
1914970,Support Attitude,Customer Support,3.880597015,321,82,136,103,
1915212,Documentation,Training and Cert.,4.020408163,44,12,19,13,
1915003,Support Price/Cost,Customer Support,3.923267327,363,92,118,151,
1915062,Website Usability,Online Experience,3.891713748,937,245,325,364,
1915134,EOL,Products,3.733990148,170,56,51,62,
1925510,Product Parts Missing,Product Attributes,3.5,5,1,3,1,
1925016,Warranty,Corporate - Policy,3.638888889,31,12,7,12,
1927216,Product Selection,Products,4.171052632,216,40,84,90,
1923190,Problem Resolution,Customer Service,3.833221024,2380,676,910,781,
1915220,Training Price/Cost,Training and Cert.,3.967741935,87,26,29,32,
1923040,Automated System,Communications,4.047619048,20,5,6,9,
1923138,Contact Info,Customer Service,3.09375,27,15,5,7,
1914909,Customer Churn,Corporate,3.333333333,31,11,6,14,
1925713,Modify Address,Reasons for Calling,3.65,38,12,11,15,
1925409,Information Access,Problem Resolution,3.613013699,261,104,80,74,
1925909,Web-Features/Functionality,Website,3.920634921,173,45,52,75,
1925821,Business Process Suggestions,Suggestions,3.911392405,223,55,64,102,
1924987,Rebate,Corporate - Policy,4.28,22,3,9,10,
1925001,Replace,Corporate - Policy,3.869215292,419,108,161,148,
1925961,Web-Search Function,Website,4.079681275,222,46,86,89,
