id	rate
1001	0.02
1003	0.02
1005	0.02
1007	0.02
1009	0.02
1011	0.02
1013	0.02
1015	0.02
1017	0.02
1019	0.02
1021	0.02
1023	0.02
1025	0.02
1027	0.02
1029	0.02
1031	0.02
1033	0.02
1035	0.02
1037	0.02
1039	0.02
1041	0.02
1043	0.02
1045	0.02
1047	0.02
1049	0.02
1051	0.02
1053	0.02
1055	0.02
1057	0.02
1059	0.02
1061	0.02
1063	0.02
1065	0.02
1067	0.02
1069	0.02
1071	0.02
1073	0.02
1075	0.02
1077	0.02
1079	0.02
1081	0.02
1083	0.02
1085	0.02
1087	0.02
1089	0.02
1091	0.02
1093	0.02
1095	0.02
1097	0.02
1099	0.02
1101	0.02
1103	0.02
1105	0.02
1107	0.02
1109	0.02
1111	0.02
1113	0.02
1115	0.02
1117	0.15
1119	0.02
1121	0.02
1123	0.02
1125	0.02
1127	0.02
1129	0.02
1131	0.02
1133	0.02
2013	0.02
2016	0.02
2020	0.02
2050	0.02
2060	0.02
2068	0.02
2070	0.02
2090	0.02
2100	0.02
2110	0.02
2122	0.02
2130	0.02
2150	0.02
2164	0.02
2170	0.02
2180	0.02
2185	0.02
2188	0.02
2201	0.02
2220	0.02
2232	0.02
2240	0.02
2261	0.02
2270	0.02
2280	0.02
2282	0.02
2290	0.02
4001	0.02
4003	0.02
4005	0.02
4007	0.02
4009	0.02
4011	0.02
4012	0.02
4013	0.02
4015	0.02
4017	0.02
4019	0.02
4021	0.02
4023	0.02
4025	0.02
4027	0.02
5001	0.02
5003	0.02
5005	0.02
5007	0.02
5009	0.02
5011	0.02
5013	0.02
5015	0.02
5017	0.02
5019	0.02
5021	0.02
5023	0.02
5025	0.02
5027	0.02
5029	0.02
5031	0.02
5033	0.02
5035	0.02
5037	0.02
5039	0.02
5041	0.02
5043	0.15
5045	0.02
5047	0.02
5049	0.02
5051	0.02
5053	0.02
5055	0.02
5057	0.02
5059	0.02
5061	0.02
5063	0.02
5065	0.02
5067	0.02
5069	0.02
5071	0.02
5073	0.02
5075	0.02
5077	0.02
5079	0.02
5081	0.02
5083	0.02
5085	0.02
5087	0.02
5089	0.02
5091	0.02
5093	0.02
5095	0.02
5097	0.02
5099	0.02
5101	0.02
5103	0.02
5105	0.02
5107	0.02
5109	0.02
5111	0.02
5113	0.02
5115	0.02
5117	0.02
5119	0.02
5121	0.02
5123	0.02
5125	0.02
5127	0.02
5129	0.02
5131	0.02
5133	0.02
5135	0.02
5137	0.02
5139	0.02
5141	0.02
5143	0.02
5145	0.02
5147	0.02
5149	0.02
6001	0.02
6003	0.02
