CAT_ID,CATEGORY,L2_CATEGORY,CATEGORY_GROUP,OSAT,TOTAL_DOCUMENTS,DETRACTOR_DOCUMENTS,PROMOTER_DOCUMENTS,NEUTRAL_DOCUMENTS,DET_CAT_INF_SCORE,PRO_CAT_INF_SCORE
330313,Style/Design,Product Selection,Operations - Merchandise,7.75707204,119272,25865,57232,36175,0.000551319,3.78659E-06
136337,Price Matching,Lowest Prices,Operations - Price/Value,7.222094609,12903,3604,6016,3283,0.000198408,5.43669E-07
118026,Water,Beverages,Dry Grocery,7.315813528,2113,584,911,618,3.25221E-06,1.06743E-06
118161,Cigarettes,Tobacco,Dry Grocery,7.152420185,913,290,367,256,2.45E-06,7.97588E-07
136242,Product Availability,Finding Items,Operations - Merchandise,7.548017838,648444,150409,294282,203753,0.002346952,0.001330107
136382,Warranty,Value for the Money,Operations - Price/Value,6.776984835,1057,376,430,251,2.9122E-05,1.38005E-08
117670,Tops,Girls,Apparel,7.687150838,178,36,80,62,8.84909E-08,1.03433E-07
118439,Prepared Foods,Deli,Fresh Foods,7.696721311,2645,619,1251,775,1.13959E-05,3.58198E-08
118499,Vegetable,Produce,Fresh Foods,7.677253717,39884,8747,18350,12787,9.21793E-05,7.53944E-07
117652,Feet,Girls,Apparel,7.475206612,238,65,94,79,1.13871E-05,3.29877E-07
76225,Radio,Advertising,Marketing,6.72972973,37,13,13,11,2.45174E-07,3.17903E-10
81683,Self-Checkout,Check-Out,Operations - Fast,7.622521179,69788,16142,33491,20155,0.000415347,0.00011822
136144,Quality of Staff,Above & Beyond,Operations - Friendly,7.78678421,197035,44450,103763,48822,0.004960695,1.86665E-05
117823,Lips,Cosmetics and Skincare,Consumables,7.421238938,543,143,241,159,4.14836E-07,1.50578E-07
118904,Floor Coverings,Home Decor,Home,7.78012685,879,176,451,252,1.52271E-06,1.47128E-08
118051,Canned Vegetables,Canned Goods,Dry Grocery,7.411073826,584,153,246,185,3.99572E-07,1.72675E-07
81633,Bagging,Check-Out,Operations - Fast,6.960921144,19063,6392,6939,5732,0.000123314,8.28185E-06
118035,Canned Fruit,Canned Goods,Dry Grocery,7.580952381,812,198,380,234,1.71633E-07,5.4745E-07
118358,Bakery Department,Bakery,Fresh Foods,7.848352262,10333,2064,5120,3149,3.24806E-05,2.10593E-07
117741,Tops,Men's,Apparel,7.575030012,828,207,350,271,4.19309E-06,6.68975E-07
120234,Frozen Fruit,Frozen Produce,Frozen Foods,7.559496568,851,205,366,280,2.78596E-06,1.39478E-08
135999,Finding Help,In & Out,Operations - Fast,7.673594384,169150,38716,80153,50281,0.000522773,0.000197335
136119,Sufficient Floor Staff,10 Foot Rule,Operations - Friendly,7.828559887,146360,29890,70716,45754,7.94298E-05,0.000238318
117939,Toiletries,Infant Consumable Hardlines,Consumables,7.603004292,913,213,387,313,1.03559E-05,2.20797E-08
118407,Milk & Cream,Dairy,Fresh Foods,7.534369062,24486,5996,10842,7648,2.78148E-05,9.82816E-06
118566,Auto Service,Automotive,Hard Lines,6.566952209,4126,1530,1747,849,7.13905E-05,2.18894E-06
76149,Threaten to Publicize,Legal Publicity,Legal,6.633333333,30,12,12,6,5.44008E-07,7.5068E-08
117625,Swimwear,Boys,Apparel,6.230769231,13,5,4,4,4.87515E-08,2.2248E-09
135993,Cart Availability,In & Out,Operations - Fast,8.019621371,34957,6139,18805,10013,1.47158E-05,9.66107E-05
117855,Hair Care,Healthy & Beauty Aids,Consumables,7.695564516,4770,1058,2190,1522,3.005E-06,2.75652E-08
118937,Insect & Pest Control,Horticulture,Home,7.17816092,167,41,55,71,9.50808E-08,1.22211E-07
76295,News Coverage,Publicity,Marketing,7.782608696,23,4,10,9,1.03313E-10,9.02985E-08
135884,Heating/Cooling,Store Atmosphere,Operations - Clean,7.849282297,6413,1308,3284,1821,5.34693E-06,1.49313E-05
117809,Face,Cosmetics and Skincare,Consumables,7.185064935,304,95,117,92,1.3668E-07,7.70184E-08
117986,Mix-Ins,Baking,Dry Grocery,7.609756098,1108,260,489,359,4.27074E-07,2.84841E-07
118384,Butter,Dairy,Fresh Foods,7.572544184,2359,586,1074,699,8.89479E-07,4.44195E-07
118917,Storage,Home Management,Home,8.040796908,49902,8989,26216,14697,5.73601E-07,3.52674E-06
135913,Size,Store Atmosphere,Operations - Clean,8.082682252,15907,2690,8395,4822,9.59174E-05,3.92665E-05
136355,Refunds,Returns & Refunds,Operations - Price/Value,5.500165399,2893,1568,715,610,0.000183147,3.10776E-06
118070,"Jam, Jelly & Preserves","Condiments, Sauces & Spices",Dry Grocery,7.763365469,2216,432,1021,763,1.45287E-06,4.06908E-06
118255,Stove & Oven,Large Household Goods,Entertainment,7.366101695,558,156,242,160,5.5528E-07,2.51192E-09
118859,Bedding,Bedding,Home,7.594553126,2438,588,1127,723,2.68972E-06,1.72295E-08
117561,Purses,Accessories,Apparel,7.772447724,770,169,392,209,9.22794E-07,9.08967E-09
82588,Non-Actionable,Non-Actionable,Non-Actionable,8.970468038,447462,24672,327702,95088,7.17581E-09,4.16768E-06
135924,Cart Quality,Store Cleanliness,Operations - Clean,8.073149771,27895,4789,15364,7742,7.84422E-05,0.000233276
117607,Bottoms,Boys,Apparel,7.82320442,180,32,77,71,1.11952E-06,7.39188E-07
118494,Other Produce,Produce,Fresh Foods,7.656978747,106137,22946,45749,37442,0.000509525,7.64011E-05
118815,Pain Killers,OTC Pharmacy,Health & Wellness,7.38305709,518,139,206,173,1.56691E-06,2.26878E-07
