PRIMARY_CAT,REL_CAT,COOC,SENTIMENT
Ease of Parking,Handicap Ready,1021,-1.439708064
Other Produce,Store Location,524,-0.372356965
Cleanliness,Willingness to Recommend,272,0.260760073
Pricing/Value,Yogurt,1016,0.090290698
Friendliness,Fruit,636,0.236306007
Gasoline,Discounts,684,-0.182805164
Deciding Factors,Finding Help,473,-0.795944559
Attitude,Fertilizer & Soil,88,0.61827957
"Beer, Wine & Spirits",Speed of Service,327,-0.905430712
Lips,Product Availability,172,-0.769736842
Product Availability,Tools,343,-1.170764081
Checkout Wait Time,Cell Phones,137,-1.137152778
Returns,Target,262,-0.543165468
Beef,In-Store Navigation,60,-0.748046875
Samples and Testers,Concerns,11,-1.354166667
Prepared Foods,Variety,398,-0.47113164
TV & Video,Sufficient Floor Staff,299,-0.72016129
Odor,Handicap Ready,14,-1.15
Finding Help,Cameras & Camcorders,181,-0.919191919
,,,
Honesty / Trust,Exchanges,12,-0.883333333
Valentines,Style/Design,40,0.14244186
Chips & Pretzels,Checkout Wait Time,141,-0.678256071
Calendars,Product Availability,133,-0.760174419
Quality of Staff,Cheese,238,0.400510204
Furniture,Returns,27,-1
Books,Features/Functionality,36,0.189814815
Helpfulness,Other Accessories,137,0.253521127
Ease of Checkout,Photo Center General,14,-0.464285714
Fabric,Atmosphere,12,-0.541666667
Periodicals,Knowledge,26,-0.339285714
Handicap Ready,Discounts,129,-0.567234848
New Merchandise,Books,153,0.153005464
Sufficient Registers,Cigarettes,224,-1.047116737
Laundry,Coupons,35,-0.554347826
"iPad, Tablets & eReaders",Attitude,100,-0.252403846
Pudding & Jello,Store Quality,32,0.091911765
,,,
,,,
Speed of Service,Necklaces,14,-1.848214286
Staff Appearance,Hair Care,15,-0.783333333
,,,
Chewing Tobacco,Product Availability,12,-1
Tidiness,Hats,28,-0.758928571
Fertilizer & Soil,Cart Availability,19,-1.175
Oil & Fluids,Knowledge,51,-0.299528302
Dry Ingredients,Sufficient Floor Staff,14,-0.433333333
Warranty,Video Games,12,-0.125
,,,
,,,
Books,Layout Consistency,21,-0.970238095
Paper,Returns,12,-0.466666667
,,,
Hunting,Heating/Cooling,10,-0.8
,,,
Prepaid,Checkout Wait Time,15,-1.402777778
Yogurt,Restrooms General,11,-1.431818182
,,,
,,,
,,,
Store Location,Pasta & Noodles,11,-0.704545455
Checkout Wait Time,Dishes,45,-0.867021277
,,,
,,,
Helpfulness,Canned Vegetables,11,0.511363636
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Product Availability,Bakery Department,1663,-0.712184016
,,,
Style/Design,Deciding Factors,811,-0.33348652
Finding Items,Target,614,-0.45096305
Other Competitors,Finding Items,797,0.584415258
Variety,Fishing & Marine,761,0.144813341
Pharmacy Department,Tidiness,1767,-0.723467407
Pricing/Value,TV & Video,2136,0.497608258
Cleanliness,Promotions,1561,0.131394261
Tools,On Display,44,-0.797101449
Pharmacy Department,Returns,539,-0.43731789
Sufficient Floor Staff,Other Produce,1193,-0.783676471
Shopping Efficiency,Bikes & Riding Toys,26,0.641666667
Chips & Pretzels,Friendliness,123,-0.48523622
Water,Self-Checkout,30,-0.640151515
Financing,Promotions,150,-0.471193416
Style/Design,Canned Fruit,53,-0.661637931
Watering & Irrigation,Returns,16,-1.166666667
Attitude,Oil & Fluids,147,-0.271875
Tidiness,Drapery,128,-1.662411972
Condiments,Store Quality,110,-0.084612573
,,,
Sufficient Registers,Halloween,69,-1.186594203
Checkout Wait Time,Food,332,-1.120014245
Floor Coverings,Tidiness,59,-1.026785714
Speed of Service,Auto Service,349,-1.083552632
Condiments,In-Store Navigation,34,-0.679054054
Target,Noise,132,-0.072916667
Target,Staff Appearance,131,0.458333333
Sufficient Space,Honesty / Trust,11,-0.022727273
Frozen Fruit,Finding Items,22,-0.147727273
Hats,Finding Items,28,-0.392857143
Style/Design,Eye Center Department,118,0.400614754
Heating/Cooling,Fruit,31,-1.198863636
Candy,Shopping Efficiency,40,0.09375
Deciding Factors,Atmosphere,26,-0.206730769
Heating/Cooling,Storage,32,-0.265625
Other Chemicals,Discounts,15,0.9375
Variety,Laundry,315,-0.965474504
Greeting,Prepared Foods,20,-0.7
Pricing/Value,Golf,113,0.946581197
Cleanliness,Cheese,89,-0.061184211
Books,Shopping Efficiency,73,0.728040541
,,,
Finding Items,Luggage,11,-1.113636364
,,,
Frozen Pizza,Checkout Wait Time,15,-1.366666667
Attitude,Crackers,65,0.015151515
Garden Center General,Communication Skills,24,-0.75
Quality of Staff,Purses,35,0.315789474
Office Supplies,Sufficient Floor Staff,39,-0.833333333
Loyalty,Exchanges,10,0.625
,,,
Friendliness,Food & Formula,34,0.132352941
Promotions,Renovations,38,0
New Merchandise,Meats,11,-1.363636364
Frozen Meats & Seafood,Sufficient Floor Staff,28,-0.59375
Loyalty,Above & Beyond,27,1.212962963
Coupons,Office Supplies,24,-0.680555556
Self-Checkout,Paper,11,-0.576923077
Yogurt,Bagging,39,-0.961538462
Measures,Finding Help,32,-0.6953125
Helpfulness,Pasta & Noodles,39,-0.593023256
,,,
Discounts,Fragrances,17,1.222222222
Size,Oral Care,18,-1.2
,,,
Appliances,Knowledge,15,-0.366666667
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Checkout Wait Time,Blu Ray,15,-1.375
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Pricing/Value,Cheese,1596,-0.030107527
Spices,Pricing/Value,651,-0.504781421
Honesty / Trust,Attitude,818,-0.155356471
"iPad, Tablets & eReaders",Quality/Reliability,38,-1.098837209
Deli Department,Bagging,109,-0.925438596
Bathroom,Restrooms General,421,-1.135057471
New Merchandise,Periodicals,188,-0.867268041
"Battery, Engine, Transmission",Variety,58,-0.689655172
Target,Cart Quality,305,0.37693299
Undergarments,Pricing/Value,112,-0.3359375
Non-Actionable,Tidiness,560,0.010544815
,,,
On Display,Vegetable,770,-0.213872255
Food & Formula,Product Availability,532,-0.770022455
Bathroom,Knowledge,47,-0.791666667
Seafood,Quality of Staff,270,-0.381767032
Quality of Staff,Periodicals,57,0.0125
Finding Help,Garden Center General,526,-0.669275629
Pricing/Value,Frozen Fruit,131,0.319444444
Christmas,Above & Beyond,42,0.329545455
,,,
Floor Coverings,Attitude,32,-0.826388889
,,,
Other Produce,Exchanges,19,-0.755681818
Cleanliness,Tools,120,-0.435
Computers,Quality/Reliability,351,-0.834444444
Eye Center Department,On Display,36,0.304054054
Accessories,Attitude,92,-0.77869898
Sufficient Floor Staff,Dairy Department,196,-1.143034826
Noise,Food,19,-1.5375
Office Supplies,Tidiness,87,-0.93543956
,,,
DVD,Sufficient Floor Staff,85,-0.644886364
Checkout Wait Time,Tools,34,-1.26547619
Cakes,Discounts,65,-0.068661972
Business Hours,Other Competitors,82,0.042682927
Auto Service,Variety,111,-0.708695652
,,,
Other Chemicals,Finding Help,20,-0.821428571
,,,
Liability,Renovations,25,-1.767857143
Juices & Sport Drinks,Above & Beyond,11,-0.515151515
Greeting,Other OTC Meds,11,0.386363636
On Display,Bedding,54,-0.56557377
Tires,Style/Design,72,-0.605811404
Paper,Finding Items,53,-0.786363636
,,,
Fruit & Nuts,Friendliness,33,-0.485294118
,,,
,,,
,,,
Christmas,Receipt & Payment,54,-0.722727273
,,,
Peanut Butter,Quality/Reliability,23,-0.38
,,,
On Display,Glasses & Frames,51,-0.879032258
Other Accessories,Cleanliness,23,0.22826087
GPS,Finding Items,18,-0.05
Sufficient Floor Staff,Food & Formula,22,-1.284090909
CDs,Store Location,12,-0.291666667
,,,
Price Matching,Cheese,32,-0.378787879
,,,
,,,
Shopping Efficiency,Furniture,24,1.09
Belts,Style/Design,47,-0.565
,,,
,,,
Speed of Service,Pillows,20,-1.46875
Finding Items,Shower Accessories,19,-0.907894737
,,,
Literature,Cleanliness,12,-0.25
,,,
Soft Drinks,Ease of Parking,14,-0.428571429
,,,
,,,
"iPad, Tablets & eReaders",Cleanliness,10,0
Mix-Ins,Checkout Wait Time,11,-0.318181818
,,,
Room to Shop,Miscellaneous Automotive Parts,15,-1.298611111
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Friendliness,Pharmacy Department,4730,0.651411253
Product Availability,Green Movement,3241,-0.800266629
Pricing/Value,Video Games,749,0.740708012
Other Produce,Layout Consistency,276,-0.964412811
Product Availability,Pillows,185,-0.981481481
Noise,Computers,119,-1.615778689
Finding Items,Easter,49,-0.622685185
Returns,DVD,127,-0.696192053
Bottoms,Finding Items,49,-0.715277778
