PRIMARY_CAT,REL_CAT,COOC,SENTIMENT
Product Availability,On Display,10159,-0.846749542
Express Lanes,Speed of Service,3352,-0.84856637
Ease of Parking,Handicap Ready,1015,-1.438397696
Finding Items,Communication Skills,439,-0.799709916
Pricing/Value,Yogurt,1014,0.089410531
Attitude,Communication Skills,3405,-0.400447754
Cleanliness,Willingness to Recommend,272,0.260760073
Quality/Reliability,Renovations,1623,-0.597470661
Friendliness,Fruit,635,0.239614152
Tidiness,Features/Functionality,426,-0.865879304
Checkout Wait Time,Cell Phones,137,-1.137152778
Variety,Layout Consistency,696,-0.817987877
Attitude,Fertilizer & Soil,86,0.596153846
Product Availability,Tools,342,-1.174016204
Discounts,Greeting,485,0.365877948
Discounts,Cart Quality,113,-0.099789916
Ease of Checkout,Express Lanes,376,-1.194948187
Variety,Receipt & Payment,211,-0.863425926
Helpfulness,Other Accessories,137,0.253521127
Variety,Exchanges,78,-0.737341772
Above & Beyond,Layout Consistency,30,-0.25
Finding Help,Cameras & Camcorders,181,-0.919191919
Quality of Staff,Cheese,238,0.400510204
Fitting Rooms,Sufficient Registers,164,-1.043154762
Returns,Target,261,-0.545126354
Ease of Checkout,Photo Center General,14,-0.464285714
Toilets,Sinks,93,-1.100806452
Bagging,TV & Video,9,-0.5875
Odor,Handicap Ready,14,-1.15
Samples and Testers,Concerns,11,-1.354166667
Sufficient Registers,Cigarettes,224,-1.047116737
New Merchandise,Books,153,0.153005464
Speed of Service,Necklaces,14,-1.848214286
Speed of Service,Luggage,5,-2.75
Staff Appearance,Hair Care,15,-0.783333333
Tidiness,Hats,28,-0.758928571
Warranty,Video Games,12,-0.125
Business Hours,Periodicals,6,-0.678571429
Business Hours,Crackers,9,-0.75
Financing,Bedding,4,-0.8
Checkout Wait Time,Dishes,45,-0.867021277
Store Location,Pasta & Noodles,11,-0.704545455
Quality of Staff,Syrups,8,-0.109375
Fees,Tidiness,13,-1.038461538
Financing,Accessories,1,-0.666666667
Helpfulness,Canned Vegetables,11,0.511363636
Toilets,Injury,8,-0.96875
Receipt & Payment,Shower Accessories,1,-3.25
Heating/Cooling,Fitting Rooms,8,-0.6875
Cart Availability,Camping,2,-2.5
Quality/Reliability,Outdoors & Recreation,3,0.333333333
Listening,Cakes,3,-1.333333333
Greeting,Canned Proteins,1,-2
As Advertised,Design,6,-1.041666667
Atmosphere,Butter,1,-3.25
Listening,Game Room,1,-2.25
Pros/Cons,Cameras & Camcorders,1,-2
Variety,Chewing Tobacco,1,-2.25
Financing,Spices,1,3
Ease of Parking,Spray Paint,1,-2
Lighting,Peanut Butter,1,0
Lighting,Litter,1,-3
Exchanges,Toiletries,2,0
New Merchandise,Shower Accessories,1,-2
Cart Availability,Photo Center General,4,0.375
Warranty,Injury,1,0
Atmosphere,Sinks,1,2
Heating/Cooling,Storage,32,-0.265625
Pricing/Value,TV & Video,2131,0.494575404
Product Availability,Finding Help,15219,-0.882118598
Cleanliness,Promotions,1557,0.128908693
Product Availability,Bakery Department,1659,-0.713665173
Friendliness,Product Availability,11955,0.404412817
