ORDER_BY_ME,PRIMARY_CAT,REL_CAT,COOC,SENTIMENT
1,Above & Beyond,Apparel,29,1.466666667
1,Above & Beyond,Consumables,49,0.613207547
1,Above & Beyond,Dry Grocery,108,0.785714286
1,Above & Beyond,Entertainment,204,1.07027897
1,Above & Beyond,Fresh Foods,404,1.072380952
1,Above & Beyond,Frozen Foods,25,0.849137931
1,Above & Beyond,Hard Lines,234,1.2625
1,Above & Beyond,Health & Wellness,954,1.382619522
1,Above & Beyond,Home,166,1.293612637
1,Above & Beyond,Legal,149,0.776442308
1,Above & Beyond,Marketing,741,1.149528302
1,Above & Beyond,Non-Actionable,113,1.406798246
1,Above & Beyond,Toys and Seasonal,52,0.971153846
1,As Advertised,Apparel,13,-1.3
1,As Advertised,Consumables,93,-1.297794118
1,As Advertised,Dry Grocery,127,-1.082792208
1,As Advertised,Entertainment,392,-1.123863636
1,As Advertised,Fresh Foods,308,-0.869578313
1,As Advertised,Frozen Foods,34,-1.097972973
1,As Advertised,Hard Lines,71,-1.117559524
1,As Advertised,Health & Wellness,40,-0.875
1,As Advertised,Home,91,-1.038043478
1,As Advertised,Legal,38,-0.746875
1,As Advertised,Marketing,1524,-1.066124179
1,As Advertised,Non-Actionable,15,-0.361111111
1,As Advertised,Toys and Seasonal,51,-0.820754717
1,Atmosphere,Apparel,14,-0.151785714
1,Atmosphere,Consumables,48,-0.254716981
1,Atmosphere,Dry Grocery,110,0.007352941
1,Atmosphere,Entertainment,98,-0.177752294
1,Atmosphere,Fresh Foods,500,0.005145958
1,Atmosphere,Frozen Foods,13,-0.653846154
1,Atmosphere,Hard Lines,110,0.000976563
1,Atmosphere,Health & Wellness,170,0.720163317
1,Atmosphere,Home,533,0.902336661
1,Atmosphere,Legal,458,0.82621308
1,Atmosphere,Marketing,1201,0.429357506
1,Atmosphere,Non-Actionable,70,1.1375
1,Atmosphere,Toys and Seasonal,138,0.371621622
1,Attitude,Apparel,722,0.029960809
1,Attitude,Consumables,1899,-0.057885146
1,Attitude,Dry Grocery,3272,-0.079645918
1,Attitude,Entertainment,3954,0.099790884
1,Attitude,Fresh Foods,13042,0.071236735
1,Attitude,Frozen Foods,518,0.260732323
1,Attitude,Hard Lines,4228,0.082960235
1,Attitude,Health & Wellness,12715,0.920809367
1,Attitude,Home,6933,0.959852222
1,Attitude,Legal,4213,-0.094379845
1,Attitude,Marketing,14202,0.335139604
1,Attitude,Non-Actionable,1988,1.677715755
1,Attitude,Toys and Seasonal,1448,0.312527704
1,Bagging,Apparel,92,-0.43504902
1,Bagging,Consumables,602,-0.783405172
1,Bagging,Dry Grocery,738,-0.803458668
1,Bagging,Entertainment,172,-0.885472973
1,Bagging,Fresh Foods,2883,-0.831635429
1,Bagging,Frozen Foods,154,-0.701657459
1,Bagging,Hard Lines,207,-0.690732759
1,Bagging,Health & Wellness,172,-1.012055838
1,Bagging,Home,285,-0.451799803
1,Bagging,Legal,374,-0.890952981
1,Bagging,Marketing,1196,-0.782473139
1,Bagging,Non-Actionable,42,-0.446022727
1,Bagging,Toys and Seasonal,78,-0.146604938
1,Business Hours,Apparel,24,-0.211538462
1,Business Hours,Consumables,121,-0.403169014
1,Business Hours,Dry Grocery,243,-0.542247387
1,Business Hours,Entertainment,213,-0.648130545
1,Business Hours,Fresh Foods,732,-0.67386033
1,Business Hours,Frozen Foods,34,-0.482638889
1,Business Hours,Hard Lines,276,-0.632217848
1,Business Hours,Health & Wellness,701,-0.648395976
1,Business Hours,Home,483,-0.663461538
1,Business Hours,Legal,388,-0.809563758
1,Business Hours,Marketing,688,-0.224312827
