CAT_ID,Category,L2_Category,Category_Group,OSAT,Total_Documents,Detractor_Documents,Promoter_Documents,Neutral_Documents,DET_CAT_INF_SCORE,PRO_CAT_INF_SCORE
330313,Style/Design,Product Selection,Operations - Merchandise,7.751465,83168,18005,39530,25633,0.000395127,2.36377E-06
136337,Price Matching,Lowest Prices,Operations - Price/Value,7.094757198,8535,2535,3852,2148,9.39033E-05,1.39519E-07
118161,Cigarettes,Tobacco,Dry Grocery,7.172739541,697,222,284,191,1.84414E-06,8.44978E-07
118026,Water,Beverages,Dry Grocery,7.393746381,1666,431,736,499,2.00504E-06,1.45944E-06
118499,Vegetable,Produce,Fresh Foods,7.592591314,26650,6094,11605,8951,4.8495E-05,1.20604E-05
136242,Product Availability,Finding Items,Operations - Merchandise,7.601026972,507440,113140,233222,161078,0.001974077,0.002282691
118439,Prepared Foods,Deli,Fresh Foods,7.599894012,1860,450,853,557,7.46747E-06,1.6403E-06
117652,Feet,Girls,Apparel,7.61627907,172,44,71,57,9.03579E-06,7.04702E-07
117670,Tops,Girls,Apparel,7.757352941,135,25,61,49,7.73307E-08,2.64503E-07
136382,Warranty,Value for the Money,Operations - Price/Value,6.719072165,726,265,278,183,1.41011E-05,3.39888E-07
76225,Radio,Advertising,Marketing,7.32,25,6,9,10,9.8844E-08,1.39612E-09
81683,Self-Checkout,Check-Out,Operations - Fast,7.666013367,48818,10988,23768,14062,0.000173195,0.000150823
136144,Quality of Staff,Above & Beyond,Operations - Friendly,7.824937612,152998,33685,81342,37971,0.004941793,2.35713E-05
117823,Lips,Cosmetics and Skincare,Consumables,7.304785894,381,105,162,114,2.56642E-07,1.95282E-07
118904,Floor Coverings,Home Decor,Home,7.707154742,546,111,277,158,1.54679E-06,1.08788E-06
118051,Canned Vegetables,Canned Goods,Dry Grocery,7.382566586,407,101,164,142,9.95316E-08,1.19176E-07
81633,Bagging,Check-Out,Operations - Fast,7.022185494,14951,4882,5481,4588,0.000102982,1.15246E-05
118035,Canned Fruit,Canned Goods,Dry Grocery,7.597662771,582,139,273,170,3.57088E-07,1.78247E-06
118358,Bakery Department,Bakery,Fresh Foods,7.777686964,7061,1459,3393,2209,3.89298E-05,1.10359E-05
120234,Frozen Fruit,Frozen Produce,Frozen Foods,7.458544839,575,148,224,203,1.87973E-06,2.03758E-07
117741,Tops,Men's,Apparel,7.574534161,639,161,266,212,2.6454E-06,9.03481E-07
118407,Milk & Cream,Dairy,Fresh Foods,7.53811228,17066,4099,7431,5536,2.64076E-05,1.4428E-05
135999,Finding Help,In & Out,Operations - Fast,7.756232999,138018,29716,66773,41529,0.000400241,0.000280478
136119,Sufficient Floor Staff,10 Foot Rule,Operations - Friendly,7.876821889,125532,24606,61582,39344,9.16252E-05,0.000339263
118566,Auto Service,Automotive,Hard Lines,6.323659952,2703,1099,1034,570,5.91967E-05,1.66624E-06
117939,Toiletries,Infant Consumable Hardlines,Consumables,7.546341463,602,143,242,217,3.85712E-06,6.54321E-07
117625,Swimwear,Boys,Apparel,6.25,12,4,4,4,6.6194E-09,2.88256E-09
76149,Threaten to Publicize,Legal Publicity,Legal,6.913043478,23,8,11,4,1.34839E-06,5.20051E-07
135993,Cart Availability,In & Out,Operations - Fast,8.078929788,28922,4813,15832,8277,1.41799E-05,0.000122621
118937,Insect & Pest Control,Horticulture,Home,7.139072848,145,38,49,58,3.61006E-07,7.20987E-07
117855,Hair Care,Healthy & Beauty Aids,Consumables,7.664417718,3268,732,1456,1080,1.66539E-06,1.49035E-06
76295,News Coverage,Publicity,Marketing,7.952380952,21,3,10,8,8.28104E-11,8.85327E-08
118917,Storage,Home Management,Home,8.059718493,36468,6428,19181,10859,3.78284E-07,2.48798E-06
135884,Heating/Cooling,Store Atmosphere,Operations - Clean,7.860248447,5237,1069,2709,1459,4.3297E-06,1.72943E-05
117809,Face,Cosmetics and Skincare,Consumables,7.349137931,228,66,91,71,2.60717E-07,3.65985E-07
118384,Butter,Dairy,Fresh Foods,7.513944223,1708,433,758,517,4.52662E-07,4.44471E-07
117986,Mix-Ins,Baking,Dry Grocery,7.565110565,790,181,344,265,4.54217E-07,4.49423E-07
135913,Size,Store Atmosphere,Operations - Clean,8.085034302,11560,1938,6094,3528,6.95541E-05,4.73368E-05
118255,Stove & Oven,Large Household Goods,Entertainment,7.398477157,372,102,162,108,2.9608E-07,1.00885E-07
117561,Purses,Accessories,Apparel,7.721830986,535,120,268,147,2.61379E-07,2.85502E-07
136355,Refunds,Returns & Refunds,Operations - Price/Value,5.515317787,2089,1124,514,451,0.000144826,2.82773E-06
118070,"Jam, Jelly & Preserves","Condiments, Sauces & Spices",Dry Grocery,7.806958474,1725,317,804,604,1.87362E-06,6.68292E-06
118859,Bedding,Bedding,Home,7.508635097,1667,414,733,520,2.55515E-06,8.9584E-07
82588,Non-Actionable,Non-Actionable,Non-Actionable,8.998715958,341814,17642,253030,71142,7.08114E-09,5.52044E-06
118494,Other Produce,Produce,Fresh Foods,7.63357418,76403,16558,32225,27620,0.000313679,8.28294E-05
135924,Cart Quality,Store Cleanliness,Operations - Clean,8.130707931,22752,3695,12777,6280,5.96489E-05,0.000293539
118815,Pain Killers,OTC Pharmacy,Health & Wellness,7.459016393,408,104,156,148,8.6721E-07,3.03866E-07
117607,Bottoms,Boys,Apparel,7.8,124,24,52,48,4.45718E-07,3.46049E-07
135828,Tidiness,Clear & Uncluttered,Operations - Clean,7.71512031,169203,36875,77149,55179,0.004140466,0.001268984
118488,Fruit,Produce,Fresh Foods,7.642171476,30455,6829,13655,9971,6.67026E-05,1.55725E-05
118243,Laundry,Large Household Goods,Entertainment,7.931506849,72,14,36,22,1.93E-07,7.99596E-09
136173,Attitude,Staff Competencies,Operations - Friendly,7.725968836,358700,79021,179598,100081,0.002410462,4.4213E-05
118134,Crackers,Snacks,Dry Grocery,7.509483899,2139,528,911,700,8.43031E-07,7.75762E-07
76281,Amazon,Competitors,Marketing,7.244067797,287,86,111,90,2.08855E-08,9.80243E-09
118967,Grill,Outdoor Living,Home,6.894345238,1218,405,491,322,1.22786E-05,7.18529E-07
135874,Atmosphere,Store Atmosphere,Operations - Clean,8.219984098,14928,2264,8361,4303,3.01381E-05,3.1329E-06
136371,Pricing/Value,Value for the Money,Operations - Price/Value,7.949761751,390171,70095,209814,110262,0.001607304,3.00269E-05
118700,Fishing & Marine,Sporting Goods,Hard Lines,7.854242204,2646,549,1343,754,2.65072E-06,3.88755E-08
