NODE_ID,NODE_NAME,parent,SENTIMENT_SCORE,TOTAL_DOCUMENTS,DETRACTOR_DOCUMENTS,DETRACTOR_SENTIMENT,PROMOTER_DOCUMENTS,PROMOTER_SENTIMENT,NEUTRAL_DOCUMENTS,NEUTRAL_SENTIMENT
75911,Show ALL,,,,,,,,,
76087,Legal,75911,-1.05655012,47992,10178,-1.157364186,25439,-0.993108899,12375,-1.102231085
76089,Security,76087,-0.723715372,6664,2109,-0.959096563,2767,-0.501614709,1788,-0.790812196
76091,Concerns,76089,-0.895744475,4920,1734,-0.955916712,1838,-0.838600669,1348,-0.896832498
76099,Feelings,76089,0.110753676,1073,209,-0.936032864,612,0.597379032,252,-0.198039216
76107,Measures,76089,-0.770539153,766,193,-1.112309645,359,-0.560273973,214,-0.813940092
76117,Individual Liabilities,76087,-1.108605186,41667,8178,-1.206811682,22813,-1.052393971,10676,-1.15137345
76119,Liability,76117,-1.463413935,4284,1533,-1.470972133,1522,-1.414384665,1229,-1.51485
76127,Injury,76117,-1.088237909,4118,1213,-1.314338235,1834,-0.92217484,1071,-1.113238007
76141,Handicap Ready,76117,-1.072128805,33857,5594,-1.12523663,19724,-1.039691268,8539,-1.1103023
76147,Legal Publicity,76087,-1.347826087,23,8,-1.625,11,-0.931818182,4,-1.9375
76149,Threaten to Publicize,76147,-1.347826087,23,8,-1.625,11,-0.931818182,4,-1.9375
76157,Non-Actionable,75911,0.002816704,341814,17642,-0.012595582,253030,0.005373837,71142,-0.002454115
76159,Non-Actionable,76157,0.002816704,341814,17642,-0.012595582,253030,0.005373837,71142,-0.002454115
76177,Marketing,75911,-0.29526971,131833,28978,-0.597678187,65136,-0.09341467,37719,-0.404721651
76179,Trends,76177,-0.891312019,13251,2381,-0.897823575,6088,-0.840578722,4782,-0.951131737
76187,Green Movement,76179,-0.891437849,13249,2381,-0.897823575,6087,-0.840709775,4781,-0.951316172
76199,Advertising,76177,-0.651838535,4732,1478,-0.807695388,2009,-0.501697381,1245,-0.703674746
76201,False Advertising,76199,-1.789230769,321,179,-1.85782967,63,-1.388671875,79,-1.955696203
76209,Print,76199,-0.666682384,2542,661,-0.769298867,1227,-0.589511041,654,-0.704209749
76225,Radio,76199,-0.11,25,6,-0.333333333,9,0.5,10,-0.525
76233,TV,76199,-0.450137363,1339,447,-0.540081522,514,-0.318269231,378,-0.520779221
76249,Web,76199,-0.716310409,529,219,-0.744419643,170,-0.648982558,140,-0.753521127
76261,Word of Mouth,76199,0.474330357,112,23,-0.35326087,67,0.73880597,22,0.534090909
76267,Competitors,76177,0.208610528,24713,5923,-0.146202302,11491,0.419684923,7299,0.168504338
76269,Other Competitors,76267,0.437544212,15226,2794,-0.023423932,8017,0.623495271,4415,0.396330022
76275,Target,76267,-0.125937283,9538,3129,-0.248784195,3501,-0.004261745,2908,-0.142006385
76281,Amazon,76267,-0.300423729,287,86,-0.264367816,111,-0.139130435,90,-0.533602151
76287,Publicity,76177,-0.380681818,22,3,0.083333333,10,-0.575,9,-0.319444444
76295,News Coverage,76287,-0.351190476,21,3,0.083333333,10,-0.575,8,-0.234375
76305,Brand,76177,-0.304069013,43976,12021,-0.718772879,20468,0.028785194,11487,-0.458688254
76307,Loyalty,76305,0.178670087,3784,659,-0.524621212,2313,0.493255589,812,-0.149616564
76327,Literature,76305,-0.687901008,1066,299,-0.821197411,500,-0.54543222,267,-0.802655678
